species	electiveCS_mean	VD_mean	b_mean	c_mean	d_mean	healthy_mean	genus_name	genus_lineage	species_name	species_lineage
Atopobium_parvulum	0.0	0.0	0.0	2.50806913	0.33774375	30.37538	Atopobium	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;	Atopobium parvulum	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella parvula
Neisseria_lactamica	0.0	0.0	0.0	0.944716957	23.58665938	6.632721333	Neisseria	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;	Neisseria lactamica	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria lactamica
Staphylococcus_epidermidis	1.46795	0.764083333	26.387975	0.408227826	0.14322375	1.255383	Staphylococcus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Staphylococcus epidermidis	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis
Human_herpesvirus_5	0.0	0.0	0.0	11.5171013	0.0	2.384314333	NOT KNOWN	;;;;;;	NOT KNOWN	;;;;;;
Streptococcus_cristatus	0.0	0.0	0.063299167	2.375771739	0.86335	9.62654	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus cristatus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus cristatus
Neisseria_mucosa	0.0	0.0	0.013126667	2.669336957	2.610251875	7.138567333	Neisseria	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;	Neisseria mucosa	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria mucosa
Leptotrichia_buccalis	0.0	0.0	0.0	1.595173478	0.946425	8.636806	Leptotrichia	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;	Leptotrichia buccalis	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia buccalis
Streptococcus_gordonii	0.0	0.0	0.172451667	3.098256522	0.639843125	6.862502333	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus gordonii	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus gordonii
Actinomyces_meyeri	0.0	0.0	0.0	1.077203913	0.25151875	8.568349667	Actinomyces	Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;	Actinomyces meyeri	Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia meyeri
Neisseria_meningitidis	0.0	0.0	0.0	1.123892174	6.34214125	2.331333667	Neisseria	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;	Neisseria meningitidis	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis
Streptococcus_anginosus	0.0	6.68067	0.00791625	0.249753913	0.16072	2.561392	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus anginosus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
Klebsiella_pneumoniae	0.0	1.83687	6.618690417	0.0	0.55027	0.0	Klebsiella	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;	Klebsiella pneumoniae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae
Bifidobacterium_breve	0.0	0.11604	0.089637083	0.49846913	1.5297625	6.113631667	Bifidobacterium	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium breve	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve
Capnocytophaga_sputigena	0.0	0.0	0.0	0.078607391	0.649351875	7.004295333	Capnocytophaga	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;	Capnocytophaga sputigena	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga sputigena
Neisseria_gonorrhoeae	0.0	0.0	0.0	0.624372174	4.8517025	2.102619667	Neisseria	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;	Neisseria gonorrhoeae	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae
Streptococcus_sanguinis	0.0	0.0	0.032918333	1.395704348	0.53130125	5.546416667	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus sanguinis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis
Serratia_marcescens	0.0	0.0	7.444844583	0.0	0.0	0.0	Serratia	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;	Serratia marcescens	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia marcescens
Ureaplasma_urealyticum	0.0	7.34043	0.0	0.0	0.0	0.0	Ureaplasma	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;	Ureaplasma urealyticum	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;Ureaplasma urealyticum
Capnocytophaga_leadbetteri	0.0	0.0	0.0	2.141485652	1.488775625	3.231081667	Capnocytophaga	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;	Capnocytophaga leadbetteri	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga leadbetteri
Cutibacterium_acnes	0.0	0.0	0.0220575	2.232053913	0.527601875	3.757704333	Cutibacterium	Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;	Cutibacterium acnes	Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes
Staphylococcus_aureus	4.75874	0.29993	1.12803125	0.065216957	0.019345	0.126292333	Staphylococcus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Staphylococcus aureus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus
Fusobacterium_hwasookii	0.0	0.0	0.0	1.918100435	1.011001875	2.929165	Fusobacterium	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;	Fusobacterium hwasookii	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium hwasookii
Prevotella_denticola	0.0	0.0	0.0	1.880349565	0.63435875	3.329148333	Prevotella	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Prevotella denticola	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola
Prevotella_enoeca	0.0	0.0	0.0	2.108444348	0.88445875	2.514194333	Prevotella	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Prevotella enoeca	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella enoeca
Prevotella_fusca	0.0	0.0	0.0	1.82347087	0.820346875	2.627290333	Prevotella	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Prevotella fusca	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella fusca
Bifidobacterium_longum	0.0	0.04425	0.298040417	1.018251304	0.729003125	2.408119	Bifidobacterium	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium longum	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
Staphylococcus_lugdunensis	0.0	0.0	4.195177917	0.0	0.0	0.0	Staphylococcus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Staphylococcus lugdunensis	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus lugdunensis
Lactobacillus_gasseri	0.0	0.0	0.0	0.0	0.0	3.952478667	Lactobacillus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;	Lactobacillus gasseri	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri
